#,Problem Name,Link,Score,Accuracy,Difficulty,Companies,Equivalent (LeetCode),LeetCode Link,Other Platform,Other Platform Link,Notes
1,Rat In A Maze,https://workat.tech/problem-solving/practice/rat-in-maze/index.html,50,62%,medium,"Amazon, Microsoft",Unique Paths II (63) - similar,https://leetcode.com/problems/unique-paths-ii/,Rat in a Maze (GeeksforGeeks) - harder variant,https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,workat asks 1/0 reachability with right/down moves only; LC 63 counts paths on the same grid (cell encoding inverted); GfG version is the 4-direction all-paths classic
2,Subsets,https://workat.tech/problem-solving/practice/subsets/index.html,50,77%,medium,"Amazon, Microsoft",Subsets (78),https://leetcode.com/problems/subsets/,,,Exact same problem
3,Subsets - II,https://workat.tech/problem-solving/practice/subsets-ii/index.html,50,48%,medium,"Amazon, Microsoft",Subsets II (90),https://leetcode.com/problems/subsets-ii/,,,Exact same problem; input may contain duplicates
4,Subset Sum,https://workat.tech/problem-solving/practice/subset-sum/index.html,50,55%,medium,"Google, Samsung, Zenefits",Partition Equal Subset Sum (416) - related,https://leetcode.com/problems/partition-equal-subset-sum/,Subset Sum Problem (GeeksforGeeks),https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1,No exact LC for plain subset-sum existence; LC 416 is the special case target = total/2; GfG problem is the exact same task
5,Combination Sum 1,https://workat.tech/problem-solving/practice/combination-sum-1/index.html,50,70%,medium,"Adobe, Amazon, Facebook",Combination Sum (39),https://leetcode.com/problems/combination-sum/,,,Exact same problem; elements reusable unlimited times
6,Combination Sum 2,https://workat.tech/problem-solving/practice/combination-sum-2/index.html,50,61%,medium,"Amazon, Microsoft",Combination Sum II (40),https://leetcode.com/problems/combination-sum-ii/,,,Exact same problem
7,Combinations,https://workat.tech/problem-solving/practice/combinations/index.html,50,60%,medium,"Adobe, Amazon",Combinations (77),https://leetcode.com/problems/combinations/,,,Exact same problem
8,Tug of War,https://workat.tech/problem-solving/practice/tug-of-war/index.html,50,45%,medium,Barclays,Partition Array Into Two Arrays to Minimize Sum Difference (2035) - related,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/,Partition into Two Halves with Minimum Sum Diff (GeeksforGeeks),https://www.geeksforgeeks.org/problems/partition-a-set-into-two-subsets-such-that-the-difference-of-subset-sums-is-minimum-set-2/1,LC 2035 is even-length (2n) only and needs meet-in-the-middle; GfG problem is the exact balanced-halves task
9,String Permutations,https://workat.tech/problem-solving/practice/string-permutations/index.html,50,53%,medium,"Amazon, Cisco, Citrix, Facebook, Maq Software +2 more",Permutations (46),https://leetcode.com/problems/permutations/,Distinct Permutations of a String (GeeksforGeeks),https://www.geeksforgeeks.org/problems/permutations-of-a-given-string2041/1,Exact same problem in string form; GfG version is the direct string task and also handles duplicate characters
10,Letter Combinations of a Phone Number,https://workat.tech/problem-solving/practice/letter-combinations-of-a-phone-number/index.html,50,81%,medium,"Amazon, Flipkart, Microsoft",Letter Combinations of a Phone Number (17),https://leetcode.com/problems/letter-combinations-of-a-phone-number/,,,Exact same problem
11,Generate Parentheses,https://workat.tech/problem-solving/practice/generate-parentheses/index.html,50,74%,medium,"Adobe, Amazon, Google, Microsoft",Generate Parentheses (22),https://leetcode.com/problems/generate-parentheses/,,,Exact same problem
12,Restore IP Addresses,https://workat.tech/problem-solving/practice/restore-ip-addresses/index.html,50,77%,medium,"Amazon, Microsoft, Qualcomm, Zoho",Restore IP Addresses (93),https://leetcode.com/problems/restore-ip-addresses/,,,Exact same problem
13,Palindrome Partitioning,https://workat.tech/problem-solving/practice/palindromic-partitioning/index.html,50,83%,medium,"Amazon, Google, Microsoft",Palindrome Partitioning (131),https://leetcode.com/problems/palindrome-partitioning/,,,Exact same problem - lists all palindromic partitions (not the min-cut variant)
14,Consecutively Descending Integers,https://workat.tech/problem-solving/practice/consecutively-descending-integers/index.html,50,50%,medium,,Splitting a String Into Descending Consecutive Values (1849),https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values/,,,Exact same problem; LC 1849 allows leading zeros within a part
15,Word Break,https://workat.tech/problem-solving/practice/word-break/index.html,50,65%,medium,"Amazon, Apple, Facebook, Google, Maq Software +3 more",Word Break (139),https://leetcode.com/problems/word-break/,,,Exact same problem
16,N Queens Problem,https://workat.tech/problem-solving/practice/n-queens/index.html,80,73%,hard,"Amazon, Google, Qualcomm",N-Queens (51),https://leetcode.com/problems/n-queens/,,,Exact same problem
17,Sudoku Solver,https://workat.tech/problem-solving/practice/sudoku-solver/index.html,80,73%,hard,"Amazon, Google, Microsoft, Qualcomm",Sudoku Solver (37),https://leetcode.com/problems/sudoku-solver/,,,Exact same problem
18,Kth Permutation Sequence,https://workat.tech/problem-solving/practice/kth-permutation-sequence/index.html,80,60%,hard,Amazon,Permutation Sequence (60),https://leetcode.com/problems/permutation-sequence/,,,Exact same problem
